time,R,phase_diff,phase_a,phase_b
0.0,0.9999216562386996,0.025035140787165847,-1.4989442088116736,-1.5239793495988394
0.01,0.9997273076523286,0.04670800720150936,-1.4049046894019288,-1.4516126966034382
0.02,0.999730225372076,0.04645744362504268,-1.4128389562285195,-1.4592963998535622
0.03,0.9983681391820004,0.11427352587635613,-1.3143549717464278,-1.4286284976227839
0.04,0.9987773220500987,0.09891115965613118,-1.3310509351162023,-1.4299620947723335
0.05,0.997013949199391,0.15459723330810957,-1.2165466154572468,-1.3711438487653564
0.06,0.9982259897337263,0.11914814419995313,-1.2449797864955021,-1.3641279306954552
0.07,0.9935596432380905,0.22710846204788118,-1.1125881250675187,-1.3396965871153999
0.08,0.99630398553505,0.172006824641759,-1.1552811724170802,-1.3272879970588392
0.09,0.9953689524528655,0.19255391767528454,-1.0073440787864862,-1.1998979964617709
0.1,0.9935975649269247,0.22643813501722412,-1.0655236239026307,-1.2919617589198549
0.11,0.9918102678489067,0.25613957519502845,-0.9075927213029582,-1.1637322964979866
0.12,0.9932855541951756,0.23189606726408366,-0.9806353359771999,-1.2125314032412835
0.13,0.986194077957915,0.33271978317517814,-0.8200567642296465,-1.1527765474048246
0.14,0.9897515267492444,0.2865802009910572,-0.9055859590254689,-1.192166160016526
0.15,0.9897561200722937,0.28651586168140497,-0.7497028172630948,-1.0362186789444998
0.16,0.9911949324752689,0.2656014982872405,-0.8442599026074715,-1.109861400894712
0.17,0.9911504955130448,0.26627185603889464,-0.6990092899882521,-0.9652811460271467
0.18,0.9871892909059583,0.32047658634449183,-0.7988576726778582,-1.11933425902235
0.19,0.9834816847980132,0.36402189359365383,-0.6681914499863147,-1.0322133435799685
0.2,0.9915327046637571,0.2604499425565608,-0.7698802732002235,-1.0303302157567842
0.21,0.9935963619890693,0.22645942922641327,-0.655860638122918,-0.8823200673493311
0.22,0.9980829150713892,0.12386114088661172,-0.756466425240495,-0.8803275661271067
0.23,0.9972602742945083,0.1480804547923459,-0.659660075087746,-0.8077405298800919
0.24,0.996036071051531,0.17813591460388645,-0.7568169898652373,-0.9349529044691237
0.25,0.9979248348796375,0.12886840531879779,-0.6767102059393828,-0.8055786112581805
0.26,0.9999855369489663,-0.010756611324060023,-0.7685622110198433,-0.7578055996957833
0.27,0.9997773145228549,0.042208410767476716,-0.7038920526001886,-0.7461004633676653
0.28,0.9988121870524138,-0.09749043735798567,-0.7890440739524468,-0.6915536365944611
0.29,0.9954462548278583,-0.1909388483117798,-0.7380487319245699,-0.5471098836127901
0.3,0.9927537980827376,-0.24091442642270341,-0.8155362222366765,-0.5746217958139732
0.31,0.9870020850570546,-0.32281475285004646,-0.776158884608994,-0.4533441317589475
0.32,0.9935795056252038,-0.22675760838852255,-0.8454231661750866,-0.6186655577865641
0.33,0.9871483941344371,-0.3209888208802477,-0.8154921470874456,-0.49450332620719784
0.34,0.9947131892678626,-0.2057469456476791,-0.8763425877008229,-0.6705956420531437
0.35,0.9726460442379657,-0.4688674011171324,-0.8537288088689406,-0.3848614077518082
0.36,0.9846681473731638,-0.35067011524205877,-0.9062824586447293,-0.5556123434026705
0.37,0.9642877822767005,-0.5361106299434595,-0.889022847958304,-0.35291221801484446
0.38,0.9709268503026244,-0.4834470135301701,-0.9336256320913766,-0.45017861856120645
0.39,0.8991579740389829,-0.9059094317981747,-0.9200021043272917,-0.01409267252911691
0.4,0.9723483246190985,-0.4714238802470012,-0.9571440800465827,-0.48572019979958153
0.41,0.9218021853822727,-0.7961847316853979,-0.9457169068754275,-0.1495321751900297
0.42,0.9525730766622982,-0.6184278364368474,-0.9759547387944042,-0.35752690235755674
0.43,0.9293131932189386,-0.756495292799412,-0.9655583257129607,-0.20906303291354875
0.44,0.9381296245259295,-0.7072148535659479,-0.9894534968075632,-0.28223864324161524
0.45,0.8894639325579754,-0.9492509997719729,-0.9791672179136235,-0.029916218141650675
0.46,0.9281531714866955,-0.7627530667941403,-0.9972426112276992,-0.23448954443355885
0.47,0.8683835759155107,-1.0377259814973663,-0.9863491243297975,0.051376857167568644
0.48,0.9337782833731195,-0.7319332797764903,-0.9990622101097822,-0.26712893033329205
0.49,0.9066790915325135,-0.8709058047162168,-0.9870026239499107,-0.11609681923369387
0.5,0.911708542206504,-0.846745175076847,-0.9947313264761165,-0.14798615139926952
0.51,0.8830894130829336,-0.9767800397802756,-0.9810628764892804,-0.004282836709004709
0.52,0.8905519156782615,-0.9444785548803916,-0.9840997997314342,-0.03962124485104272
0.53,0.8761852794150099,-1.0058135283115246,-0.9684585837768555,0.03735494453466907
0.54,0.9169753596312223,-0.8207295472656653,-0.9670098363023164,-0.14628028903665116
0.55,0.8665261676464823,-1.0451927550448854,-0.9490790674582069,0.09611368758667842
0.56,0.9198382642939333,-0.8062566378679477,-0.9432648007785598,-0.13700816291061224
0.57,0.8694917689763076,-1.033247714278139,-0.9227478518510757,0.11049986242706349
0.58,0.8904710447085594,-0.944834062326706,-0.9126024558097797,0.0322316065169263
0.59,0.8677853393441131,-1.040136203154802,-0.8891994384009755,0.15093676475382664
0.6,0.9152773622628179,-0.8292007993086261,-0.8746699970054881,-0.04546919769686201
0.61,0.9061234836742756,-0.8735364163742265,-0.848056500998802,0.025479915375424458
0.62,0.9066012808230194,-0.87127465916038,-0.8289986224902822,0.04227603667009785
0.63,0.8770007677486844,-1.0024243578497603,-0.7988054047446521,0.20361895310510805
0.64,0.9123518811671101,-0.843607872506541,-0.7749760129853684,0.06863185952117253
0.65,0.8823289192371457,-0.9800167408643042,-0.7407688594869156,0.23924788137738862
0.66,0.9353285993552195,-0.72321915248746,-0.71181616815732,0.011402984330140023
0.67,0.908327336643151,-0.8630577863276001,-0.6730760075480005,0.18998177877959976
0.68,0.915315865255249,-0.8290096133136537,-0.6385280183912969,0.1904815949223568
0.69,0.9338808874026588,-0.7313596212981152,-0.5946329869600112,0.13672663433810398
0.7,0.9509209317788262,-0.6291954604800017,-0.5538879891919516,0.07530747128805017
0.71,0.9541202190435202,-0.6081773638464779,-0.5041021728254931,0.10407519102098481
0.72,0.9673117761359452,-0.5127797139995995,-0.45642870232695676,0.05635101167264281
0.73,0.9627223880615133,-0.5478068680600602,-0.3999076795124878,0.14789918854757253
0.74,0.9623162484747636,-0.5508018636075402,-0.3444683284131637,0.2063335351943765
0.75,0.9434684745419754,-0.6757060866388787,-0.2803004999027838,0.395405586736095
0.76,0.9893611545844689,-0.29199675737016895,-0.21622467085027208,0.07577208651989689
0.77,0.974762258379868,-0.450285413315384,-0.14353971391648435,0.30674569939889973
0.78,0.9819518725486076,-0.3805541161240186,-0.0700832397728979,0.3104708763511207
0.79,0.9730051325156068,-0.46576563425969714,0.01172988117335302,0.47749551543305013
0.8,0.9962217358039012,-0.17391137535075837,0.09489529335796712,0.26880666870872555
0.81,0.9991624818608985,-0.08186012808803216,0.18582619387763005,0.2676863219656622
0.82,0.9994006606853609,0.0692473359571237,0.27818161075488396,0.20893427479776025
0.83,0.9995574730476058,-0.05950190548860902,0.3771241179707969,0.436626023459406
0.84,0.985662669271273,0.33907783369341693,0.47683243839026745,0.1377546046968505
0.85,0.9782486294904329,0.4179060640765154,0.5811975523271027,0.16329148825058729
0.86,0.9841382537236317,0.35669434591520666,0.6849034946772716,0.3282091487620649
0.87,0.9571099279449053,0.5878790406644395,0.7907232137353054,0.20284417307086586
0.88,0.9592205813212457,0.573129185527353,0.8940505442528066,0.32092135872545363
0.89,0.9370470568774768,0.7134410872883848,0.9968926879862656,0.28345160069788083
0.9,0.8946336421672563,0.9263715136655165,1.095691824040244,0.1693203103747275
0.91,0.8719537088939211,1.0232351254772987,1.1920462848826847,0.16881115940538619
0.92,0.8644979731322217,1.0532912043546823,1.2836575631841598,0.23036635882947745
0.93,0.8720993552895306,1.0226399928169465,1.371832966678073,0.3491929738611265
0.94,0.8289086093476574,1.1872850601875287,1.4554759249618388,0.26819086477431
0.95,0.7965410622124791,1.2984880983170148,1.535480770133459,0.23699267181644407
0.96,0.7905444213937783,1.3181976984159707,1.6117477875020794,0.2935500890861088
0.97,0.7668706639357373,1.3936906860503375,1.6845703728198034,0.2908796867694659
0.98,0.7302396915862271,1.5042472013618202,1.7546588161070125,0.25041161474519213
0.99,0.7631116714434903,1.4053639234820439,1.8215653352708865,0.41620141178884257
1.0,0.7171022115155006,1.5423213153821498,1.8867001703252966,0.3443788549431468
1.01,0.6878833383496009,1.6244550983562789,1.94879354017453,0.3243384418182511
1.02,0.6750750219650175,1.6594598779390115,2.0099103524525574,0.35045047451354594
1.03,0.6005131205094495,1.853307325946951,2.067912990965193,0.21460566501824224
1.04,0.6148731100836727,1.817142540733644,2.1255177699982433,0.30837522926459937
1.05,0.5958570044484803,1.8649279339813614,2.1796869417679243,0.31475900778656296
1.06,0.5420403186135804,1.995866362524568,2.2338130752190115,0.23794671269444348
1.07,0.6206950432341866,1.8023349169254692,2.2839270185951106,0.48159210166964145
1.08,0.5796831143582113,1.9049131641463892,2.3341444369782174,0.42923127283182816
1.09,0.5657722970907589,1.938853516725881,2.37952716615053,0.4406736494246493
1.1,0.5101666140780932,2.070835654749044,2.424980256830397,0.3541446020813529
1.11,0.5320714586089901,2.019502253701717,2.464547306873557,0.44504505317183973
1.12,0.46129245210949954,2.1826899630355547,2.5040070007522406,0.3213170377166859
1.13,0.4632101409741501,2.1783647490140945,2.5363207068192497,0.35795595780515527
1.14,0.4310091295703149,2.25037102032955,2.568242138188841,0.317871117859291
1.15,0.45581230769360503,2.195023396555528,2.5915746712355983,0.3965512746800702
1.16,0.44187398923718063,2.226219461983723,2.614166558578966,0.3879470965952436
1.17,0.4436737904469584,2.2222048849559735,2.6265935746192635,0.40438868966329006
1.18,0.38037815753590865,2.3611823420831453,2.63793972548202,0.2767573833988746
1.19,0.4374431446719288,2.236085917146197,2.6375357029230635,0.40144978577686685
1.2,0.39959756125269935,2.319437070695611,2.6358660548727424,0.31642898417713144
1.21,0.42900280302009264,2.254815569206694,2.6211343387616832,0.366318769554989
1.22,0.436182834889355,2.238887999699641,2.6053913467958854,0.36650334709624416
1.23,0.4693077248148191,2.1645793701276137,2.5760618483660456,0.4114824782384319
1.24,0.4131621844614742,2.289745138814273,2.546821044759227,0.2570759059449539
1.25,0.5053878071816071,2.0819299870171153,2.5048919397181937,0.4229619527010785
1.26,0.44794833074806306,2.2126541799069317,2.4652672505375968,0.2526130706306653
1.27,0.5790866131364462,1.9063768737530797,2.4155475095885657,0.509170635835486
1.28,0.47764841564440835,2.1456404602396906,2.37111543424322,0.2254749740035297
1.29,0.56522445960013,1.9401820112003474,2.320233798042753,0.3800517868424057
1.3,0.5463838131261883,1.9855117110083502,2.277344184072335,0.29183247306398463
1.31,0.581099051749409,1.9014356448814607,2.2314063837542206,0.32997073887276
1.32,0.5553066001519961,1.964129478452673,2.19492732264323,0.23079784419055713
1.33,0.5878516195189235,1.8847915184572865,2.157634275801171,0.27284275734388447
1.34,0.5949036920260591,1.8673009993982108,2.1298967522517773,0.26259575285356657
1.35,0.6629727869337475,1.6920272299472894,2.102354761741269,0.4103275317939795
1.36,0.6286962529053883,1.7818415466951074,2.083597890366984,0.30175634367187654
1.37,0.6655961734741648,1.685007934191146,2.0652450453757942,0.3802371111846482
1.38,0.5985682508972023,1.8581674116512739,2.0546043133626943,0.19643690171142056
1.39,0.6274035308815128,1.78516400157303,2.0442026389156713,0.2590386373426416
1.4,0.59294192633978,1.872177850233377,2.0404851657566976,0.16830731552332057
1.41,0.5837713044439014,1.8948608365076036,2.0367318312295013,0.14187099472189774
1.42,0.6126315664858251,1.8228209438762564,2.038821650672179,0.21600070679592245
1.43,0.665577055567822,1.6850591666132215,2.0406141928153256,0.3555550262021041
1.44,0.6353402078739191,1.7646946707641538,2.0476211330251624,0.2829264622610085
1.45,0.6314873627688485,1.7746527762532658,2.0541271698854535,0.27947439363218785
1.46,0.5780465382834602,1.9089272175300465,2.0654084009228026,0.15648118339275624
